timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1357355989,1,sda,22.00,0.00,27.00,0.00,1.01,0.00,76.44,0.31,14.07,14.07,0.00,5.00,13.50
1357355990,2,sda,0.00,0.00,42.00,0.00,0.32,0.00,15.62,0.48,11.50,11.50,0.00,2.24,9.40
1357355991,3,sda,0.00,8.00,0.00,3.00,0.00,0.05,32.00,0.08,26.67,0.00,26.67,23.33,7.00
1357355992,4,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357355993,5,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,3.10
1357355994,6,sda,0.00,0.00,490.00,0.00,16.25,0.00,67.92,4.97,10.21,10.21,0.00,1.52,74.30
1357355995,7,sda,0.00,0.00,40.00,0.00,3.29,0.00,168.60,0.19,4.88,4.88,0.00,4.28,17.10
1357355996,8,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357355997,9,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357355998,10,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357355999,11,sda,0.00,10.00,46.00,2.00,2.25,0.05,98.00,0.38,7.85,7.11,25.00,7.35,35.30
1357356000,12,sda,0.00,0.00,15.00,2.00,0.77,0.02,95.53,0.10,6.00,5.53,9.50,5.94,10.10
1357356001,13,sda,0.00,1.00,4.00,32.00,0.02,6.11,348.67,1.09,30.36,13.75,32.44,2.75,9.90
1357356002,14,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356003,15,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356004,16,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356005,17,sda,0.00,3.00,0.00,2.00,0.00,0.02,20.00,0.04,21.50,0.00,21.50,21.50,4.30
1357356006,18,sda,0.00,0.00,5.00,2.00,0.38,0.02,116.57,0.11,13.71,4.20,37.50,15.29,10.70
1357356007,19,sda,0.00,0.00,1.00,23.00,0.00,10.06,858.67,0.85,35.88,15.00,36.78,9.58,23.00
1357356008,20,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356009,21,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356010,22,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356011,23,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356012,24,sda,0.00,1.00,0.00,2.00,0.00,0.01,12.00,0.05,27.00,0.00,27.00,27.00,5.40
1357356013,25,sda,0.00,0.00,0.00,11.00,0.00,4.60,856.00,0.69,62.55,0.00,62.55,13.73,15.10
1357356014,26,sda,0.00,0.00,0.00,24.00,0.00,11.38,971.00,1.24,51.83,0.00,51.83,10.25,24.60
1357356015,27,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356016,28,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356017,29,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356018,30,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356019,31,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356020,32,sda,0.00,0.00,0.00,8.00,0.00,3.28,840.00,0.40,50.12,0.00,50.12,24.88,19.90
1357356021,33,sda,0.00,0.00,0.00,26.00,0.00,12.50,984.92,1.54,59.27,0.00,59.27,10.00,26.00
1357356022,34,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356023,35,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357356024,36,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
