CPU: Intel Sandy Bridge microarchitecture, speed 2.301e+06 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
541096   541096         9.7386   9.7386    (no location information)   libc-2.16.so             __memcpy_ssse3_back
478230   1019326        8.6072  18.3458    jemalloc.c:1321             redis-server             je_malloc_usable_size
325970   1345296        5.8668  24.2126    networking.c:170            redis-server             _addReplyObjectToList
311531   1656827        5.6069  29.8195    (no location information)   libc-2.16.so             __memmove_ssse3_back
241480   1898307        4.3462  34.1657    sds.c:182                   redis-server             sdscatlen
218487   2116794        3.9323  38.0980    jemalloc.c:830              redis-server             je_malloc
204141   2320935        3.6741  41.7721    zmalloc.c:121               redis-server             zmalloc
191429   2512364        3.4453  45.2175    networking.c:268            redis-server             addReply
185714   2698078        3.3425  48.5600    zmalloc.c:198               redis-server             zfree
181624   2879702        3.2689  51.8288    jemalloc.c:1225             redis-server             je_free
140213   3019915        2.5236  54.3524    object.c:35                 redis-server             createObject
137602   3157517        2.4766  56.8289    (no location information)   [vdso] (tgid:854 range:0x7fff1d5bb000-0x7fff1d5bbfff) [vdso] (tgid:854 range:0x7fff1d5bb000-0x7fff1d5bbfff)
129395   3286912        2.3288  59.1578    dict.c:117                  redis-server             dictGenHashFunction
106790   3393702        1.9220  61.0798    arena.c:1977                redis-server             arena_ralloc
104297   3497999        1.8771  62.9569    networking.c:1260           redis-server             checkClientOutputBufferLimits
100075   3598074        1.8011  64.7581    dict.c:481                  redis-server             dictFind
81519    3679593        1.4672  66.2253    networking.c:153            redis-server             _addReplyToBuffer
81202    3760795        1.4615  67.6867    zmalloc.c:149               redis-server             zrealloc
74069    3834864        1.3331  69.0198    (no location information)   libc-2.16.so             __strcasecmp_l_avx
66485    3901349        1.1966  70.2164    util.c:225                  redis-server             ll2string
64217    3965566        1.1558  71.3722    networking.c:1341           redis-server             asyncCloseClientOnOutputBufferLimitReached
64144    4029710        1.1545  72.5267    networking.c:842            redis-server             processMultibulkBuffer
58550    4088260        1.0538  73.5804    networking.c:135            redis-server             dupLastObjectIfNeeded
56263    4144523        1.0126  74.5931    networking.c:122            redis-server             prepareClientToWrite
54265    4198788        0.9767  75.5697    jemalloc.c:1078             redis-server             je_realloc
52935    4251723        0.9527  76.5224    copy_user_64.S:235          vmlinux                  copy_user_generic_string
49903    4301626        0.8982  77.4206    sds.h:54                    redis-server             sdsMakeRoomFor
43792    4345418        0.7882  78.2088    aof.c:322                   redis-server             catAppendOnlyGenericCommand
39959    4385377        0.7192  78.9279    t_list.c:515                redis-server             lrangeCommand
39213    4424590        0.7058  79.6337    sds.c:39                    redis-server             sdsnewlen
37071    4461661        0.6672  80.3009    object.c:218                redis-server             decrRefCount
36996    4498657        0.6659  80.9668    redis.c:384                 redis-server             dictSdsKeyCompare
33288    4531945        0.5991  81.5659    util.c:251                  redis-server             string2ll
33218    4565163        0.5979  82.1637    networking.c:417            redis-server             addReplyLongLongWithPrefix
31981    4597144        0.5756  82.7393    networking.c:456            redis-server             addReplyBulkLen
29962    4627106        0.5393  83.2786    (no location information)   libc-2.16.so             __strchr_sse42
29784    4656890        0.5361  83.8146    networking.c:475            redis-server             addReplyBulk
29693    4686583        0.5344  84.3490    clear_page_64.S:11          vmlinux                  clear_page_c
27924    4714507        0.5026  84.8516    entry_64.S:1391             vmlinux                  page_fault
27915    4742422        0.5024  85.3540    redis.c:1554                redis-server             processCommand
27504    4769926        0.4950  85.8490    (no location information)   libc-2.16.so             __memcmp_sse4_1
24052    4793978        0.4329  86.2819    redis.c:1487                redis-server             call
20914    4814892        0.3764  86.6583    networking.c:40             redis-server             zmalloc_size_sds
18724    4833616        0.3370  86.9953    arena.c:1701                redis-server             arena_dalloc_bin_locked
18705    4852321        0.3367  87.3320    dict.c:339                  redis-server             dictAddRaw
17403    4869724        0.3132  87.6452    dict.c:153                  redis-server             dictGenCaseHashFunction
15851    4885575        0.2853  87.9305    object.c:315                redis-server             getDecodedObject
14773    4900348        0.2659  88.1964    networking.c:575            redis-server             freeClientArgv
14531    4914879        0.2615  88.4579    arena.c:1342                redis-server             arena_tcache_fill_small
13851    4928730        0.2493  88.7072    sds.c:274                   redis-server             sdsrange
12262    4940992        0.2207  88.9279    page_alloc.c:1815           vmlinux                  get_page_from_freelist
11024    4952016        0.1984  89.1263    memcontrol.c:2795           vmlinux                  mem_cgroup_charge_common
10916    4962932        0.1965  89.3228    redis.c:337                 redis-server             ustime
10306    4973238        0.1855  89.5083    db.c:465                    redis-server             getExpire
9999     4983237        0.1800  89.6882    arena.c:862                 redis-server             arena_purge
9189     4992426        0.1654  89.8536    aof.c:384                   redis-server             feedAppendOnlyFile
8831     5001257        0.1589  90.0125    object.c:47                 redis-server             createStringObject
8747     5010004        0.1574  90.1700    (no location information)   libc-2.16.so             __strcasecmp_avx
8720     5018724        0.1569  90.3269    networking.c:974            redis-server             processInputBuffer
7813     5026537        0.1406  90.4675    dict.c:368                  redis-server             dictReplace
7738     5034275        0.1393  90.6068    list_debug.c:45             vmlinux                  __list_del_entry
7662     5041937        0.1379  90.7447    db.c:42                     redis-server             lookupKey
7036     5048973        0.1266  90.8713    object.c:152                redis-server             freeStringObject
6963     5055936        0.1253  90.9967    page_alloc.c:639            vmlinux                  free_pcppages_bulk
6669     5062605        0.1200  91.1167    db.c:503                    redis-server             expireIfNeeded
6479     5069084        0.1166  91.2333    object.c:273                redis-server             tryObjectEncoding
6016     5075100        0.1083  91.3416    memcontrol.c:2569           vmlinux                  __mem_cgroup_commit_charge
5830     5080930        0.1049  91.4465    db.c:70                     redis-server             lookupKeyWrite
5731     5086661        0.1031  91.5496    tcp.c:1020                  vmlinux                  tcp_sendmsg
5563     5092224        0.1001  91.6498    memcontrol.c:3024           vmlinux                  __mem_cgroup_uncharge_common
5504     5097728        0.0991  91.7488    swap.c:662                  vmlinux                  release_pages
5400     5103128        0.0972  91.8460    dict.c:315                  redis-server             dictAdd
5187     5108315        0.0934  91.9394    db.c:116                    redis-server             setKey
5098     5113413        0.0918  92.0311    arena.c:135                 redis-server             arena_avail_tree_remove
5044     5118457        0.0908  92.1219    tcp_input.c:3584            vmlinux                  tcp_ack
5020     5123477        0.0903  92.2123    arena.c:135                 redis-server             arena_avail_tree_insert
5013     5128490        0.0902  92.3025    redis.c:432                 redis-server             dictSdsHash
4752     5133242        0.0855  92.3880    networking.c:781            redis-server             resetClient
4563     5137805        0.0821  92.4701    swap.c:782                  vmlinux                  __pagevec_lru_add_fn
4553     5142358        0.0819  92.5521    memory.c:1317               vmlinux                  unmap_single_vma
4457     5146815        0.0802  92.6323    page_alloc.c:2538           vmlinux                  __alloc_pages_nodemask
4443     5151258        0.0800  92.7123    redis.c:398                 redis-server             dictSdsKeyCaseCompare
4424     5155682        0.0796  92.7919    list_debug.c:25             vmlinux                  __list_add
