timestamp,offset,pct_user,pct_nice,pct_system,pct_iowait,pct_steal,pct_idle
1357159459,1,0.00,0.00,0.50,3.49,0.00,96.01
1357159460,2,0.00,0.00,0.00,1.26,0.00,98.74
1357159461,3,0.00,0.00,0.25,0.00,0.00,99.75
1357159462,4,0.25,0.00,0.00,0.00,0.00,99.75
1357159463,5,0.00,0.00,0.50,0.00,0.00,99.50
1357159464,6,0.25,0.00,0.00,8.75,0.00,91.00
1357159465,7,0.00,0.00,0.00,0.00,0.00,100.00
1357159466,8,0.00,0.00,0.25,0.00,0.00,99.75
1357159467,9,0.25,0.00,0.00,0.00,0.00,99.75
1357159468,10,0.00,0.00,0.25,0.00,0.00,99.75
1357159469,11,0.00,0.00,0.00,4.26,0.00,95.74
1357159470,12,0.00,0.00,0.25,0.00,0.00,99.75
1357159471,13,0.25,0.00,0.25,0.00,0.00,99.50
1357159472,14,0.00,0.00,0.00,0.00,0.00,100.00
1357159473,15,0.25,0.00,0.25,1.01,0.00,98.49
1357159474,16,5.51,0.00,0.75,18.55,0.00,75.19
1357159475,17,8.96,0.00,35.82,13.93,0.50,40.80
1357159476,18,7.83,0.00,38.64,2.02,0.76,50.76
1357159477,19,11.25,0.00,31.71,5.12,1.02,50.90
1357159478,20,9.57,0.00,36.52,6.05,0.25,47.61
1357159479,21,7.04,0.00,23.12,3.52,0.00,66.33
1357159480,22,6.00,0.00,27.50,2.75,0.50,63.25
1357159481,23,6.02,0.00,24.81,4.76,0.00,64.41
1357159482,24,3.01,0.00,22.06,6.02,0.00,68.92
1357159483,25,7.96,0.00,26.37,5.97,0.25,59.45
1357159484,26,8.19,0.00,26.05,7.20,0.25,58.31
1357159485,27,9.23,0.00,34.91,5.99,0.25,49.63
1357159486,28,6.44,0.00,26.73,0.00,0.50,66.34
1357159487,29,2.75,0.00,22.25,6.50,0.00,68.50
1357159488,30,8.79,0.00,32.41,0.00,0.00,58.79
1357159489,31,11.03,0.00,32.33,0.50,0.25,55.89
1357159490,32,17.50,0.00,26.25,7.25,0.25,48.75
1357159491,33,31.17,0.00,15.71,0.00,0.25,52.87
1357159492,34,29.43,0.00,15.71,0.00,0.00,54.86
1357159493,35,37.94,0.00,10.55,0.00,0.25,51.26
1357159494,36,38.04,0.00,10.33,0.00,0.25,51.39
1357159495,37,38.58,0.00,8.88,1.02,0.00,51.52
1357159496,38,39.00,0.00,9.75,0.00,0.50,50.75
1357159497,39,39.95,0.00,8.04,0.00,0.00,52.01
1357159498,40,40.36,0.00,7.61,0.00,0.00,52.03
1357159499,41,38.60,0.00,7.52,0.00,0.25,53.63
1357159500,42,39.90,0.00,6.82,0.25,0.25,52.78
1357159501,43,40.25,0.00,7.59,0.00,0.25,51.90
1357159502,44,41.56,0.00,6.80,0.00,0.25,51.39
1357159503,45,40.25,0.00,7.34,0.00,0.00,52.41
1357159504,46,39.54,0.00,7.91,0.00,0.26,52.30
1357159505,47,38.69,0.00,8.79,4.27,0.25,47.99
1357159506,48,40.05,0.00,6.55,0.00,0.25,53.15
1357159507,49,41.81,0.00,5.79,0.00,0.25,52.14
1357159508,50,41.85,0.00,6.77,0.00,0.00,51.38
1357159509,51,40.25,0.00,7.34,0.00,0.25,52.15
1357159510,52,41.71,0.00,6.78,0.25,0.00,51.26
1357159511,53,41.56,0.00,6.55,0.00,0.25,51.64
1357159512,54,42.61,0.00,6.02,0.00,0.00,51.38
1357159513,55,40.66,0.00,7.07,0.00,0.25,52.02
1357159514,56,20.75,0.00,18.50,4.25,0.25,56.25
1357159515,57,9.57,0.00,18.39,20.15,0.25,51.64
1357159516,58,14.25,0.00,21.63,12.72,0.00,51.40
1357159517,59,21.50,0.00,2.00,2.00,0.25,74.25
1357159518,60,24.31,0.00,0.75,0.00,0.00,74.94
1357159519,61,21.16,0.00,5.54,0.00,0.00,73.30
1357159520,62,16.11,0.00,9.72,0.00,0.00,74.17
1357159521,63,20.57,0.00,6.94,9.77,0.00,62.72
1357159522,64,23.56,0.00,2.01,22.56,0.00,51.88
1357159523,65,23.13,0.00,2.49,0.50,0.50,73.38
1357159524,66,21.05,0.00,4.76,7.02,0.00,67.17
1357159525,67,15.54,0.00,1.75,7.77,0.00,74.94
1357159526,68,24.75,0.00,0.50,0.00,0.00,74.75
1357159527,69,24.56,0.00,0.75,21.05,0.00,53.63
1357159528,70,13.22,0.00,0.50,25.94,0.00,60.35
1357159534,76,2.39,0.00,0.39,36.49,0.00,60.72
1357159535,77,0.00,0.00,0.00,0.00,0.00,100.00
1357159536,78,0.00,0.00,0.00,0.00,0.00,100.00
1357159537,79,0.00,0.00,0.00,0.00,0.00,100.00
1357159538,80,0.00,0.00,0.00,4.50,0.00,95.50
1357159539,81,0.00,0.00,0.00,0.00,0.00,100.00
1357159540,82,0.00,0.00,0.00,0.00,0.00,100.00
1357159541,83,0.00,0.00,0.00,0.00,0.00,100.00
1357159542,84,0.00,0.00,0.00,0.00,0.00,100.00
1357159543,85,0.00,0.00,0.00,2.74,0.00,97.26
1357159544,86,0.00,0.00,0.00,0.00,0.00,100.00
1357159545,87,0.00,0.00,0.00,0.00,0.00,100.00
1357159546,88,0.00,0.00,0.00,0.00,0.00,100.00
