timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1357159459,1,vda,0.00,0.00,49.00,0.00,0.99,0.00,41.47,0.90,17.96,17.96,0.00,3.84,18.80
1357159460,2,vda,0.00,0.00,3.00,0.00,0.02,0.00,16.00,0.06,36.00,36.00,0.00,20.00,6.00
1357159461,3,vda,0.00,1.00,0.00,36.00,0.00,0.14,8.22,0.00,0.00,0.00,0.00,0.00,0.00
1357159462,4,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159463,5,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159464,6,vda,0.00,19.00,0.00,2.00,0.00,0.08,84.00,0.35,176.00,0.00,176.00,176.00,35.20
1357159465,7,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159466,8,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159467,9,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159468,10,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159469,11,vda,0.00,2.00,0.00,2.00,0.00,0.02,16.00,0.17,86.00,0.00,86.00,86.00,17.20
1357159470,12,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159471,13,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159472,14,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159473,15,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,4.80
1357159474,16,vda,0.00,2.00,449.00,2.00,11.75,0.02,53.41,11.10,24.60,24.51,46.00,1.81,81.60
1357159475,17,vda,0.00,0.00,153.00,0.00,6.56,0.00,87.84,3.15,20.94,20.94,0.00,5.54,84.80
1357159476,18,vda,0.00,23.00,0.00,5.00,0.00,0.11,46.40,0.07,0.00,0.00,0.00,14.40,7.20
1357159477,19,vda,0.00,5.00,0.00,6.00,0.00,0.73,250.67,0.44,86.00,0.00,86.00,39.33,23.60
1357159478,20,vda,0.00,6.00,0.00,12.00,0.00,4.08,696.00,2.53,211.00,0.00,211.00,29.33,35.20
1357159479,21,vda,0.00,5.00,0.00,3.00,0.00,0.06,40.00,0.14,48.00,0.00,48.00,48.00,14.40
1357159480,22,vda,0.00,5.00,0.00,6.00,0.00,1.69,577.33,0.60,100.67,0.00,100.67,38.67,23.20
1357159481,23,vda,0.00,6.00,0.00,8.00,0.00,2.32,595.00,1.10,137.00,0.00,137.00,34.50,27.60
1357159482,24,vda,0.00,4.00,0.00,5.00,0.00,1.28,524.80,0.53,106.40,0.00,106.40,50.40,25.20
1357159483,25,vda,0.00,6.00,0.00,4.00,0.00,0.69,352.00,0.38,96.00,0.00,96.00,62.00,24.80
1357159484,26,vda,0.00,5.00,0.00,6.00,0.00,1.99,678.67,0.81,135.33,0.00,135.33,47.33,28.40
1357159485,27,vda,0.00,6.00,0.00,5.00,0.00,1.37,561.60,0.54,108.80,0.00,108.80,51.20,25.60
1357159486,28,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159487,29,vda,0.00,6.00,0.00,5.00,0.00,1.18,483.20,0.56,112.80,0.00,112.80,52.00,26.00
1357159488,30,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159489,31,vda,0.00,4.00,0.00,3.00,0.00,0.03,18.67,0.13,42.67,0.00,42.67,42.67,12.80
1357159490,32,vda,0.00,6.00,0.00,7.00,0.00,2.16,630.86,0.97,138.86,0.00,138.86,40.57,28.40
1357159491,33,vda,0.00,0.00,0.00,2.00,0.00,0.20,200.00,0.25,124.00,0.00,124.00,62.00,12.40
1357159492,34,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159493,35,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159494,36,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159495,37,vda,0.00,6.00,0.00,5.00,0.00,0.04,17.60,0.19,37.60,0.00,37.60,37.60,18.80
1357159496,38,vda,0.00,6.00,0.00,27.00,0.00,0.13,9.78,6.48,240.00,0.00,240.00,8.89,24.00
1357159497,39,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159498,40,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159499,41,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159500,42,vda,0.00,3.00,0.00,2.00,0.00,0.02,20.00,0.18,88.00,0.00,88.00,88.00,17.60
1357159501,43,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159502,44,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159503,45,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159504,46,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159505,47,vda,0.00,3.00,0.00,2.00,0.00,0.02,20.00,0.18,90.00,0.00,90.00,90.00,18.00
1357159506,48,vda,0.00,0.00,0.00,15.00,0.00,7.37,1006.40,4.20,280.00,0.00,280.00,18.67,28.00
1357159507,49,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159508,50,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159509,51,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159510,52,vda,0.00,5.00,0.00,3.00,0.00,0.03,21.33,0.17,57.33,0.00,57.33,56.00,16.80
1357159511,53,vda,0.00,0.00,0.00,3.00,0.00,1.31,896.00,0.46,152.00,0.00,152.00,50.67,15.20
1357159512,54,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159513,55,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159514,56,vda,0.00,6.00,0.00,3.00,0.00,0.04,24.00,0.17,57.33,0.00,57.33,57.33,17.20
1357159515,57,vda,0.00,6.00,0.00,29.00,0.00,13.34,942.07,17.27,595.45,0.00,595.45,27.86,80.80
1357159516,58,vda,0.00,6.00,1.00,22.00,0.00,9.47,843.83,6.66,289.74,48.00,300.73,21.74,50.00
1357159517,59,vda,0.00,0.00,6.00,0.00,0.38,0.00,130.67,0.08,14.00,14.00,0.00,14.00,8.40
1357159518,60,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159519,61,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159520,62,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159521,63,vda,0.00,0.00,0.00,1.00,0.00,0.00,8.00,21.57,112.00,0.00,112.00,548.00,54.80
1357159522,64,vda,0.00,17.00,14.00,47.00,0.15,17.83,603.67,24.21,748.59,208.86,909.36,14.95,91.20
1357159523,65,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159524,66,vda,0.00,7.00,1.00,73.00,0.01,0.33,9.30,0.02,0.22,4.00,0.16,0.16,1.20
1357159525,67,vda,0.00,0.00,69.00,0.00,1.60,0.00,47.54,2.69,39.01,39.01,0.00,4.64,32.00
1357159526,68,vda,0.00,11.00,0.00,3.00,0.00,0.05,37.33,0.00,0.00,0.00,0.00,0.00,0.00
1357159527,69,vda,0.00,0.00,1.00,0.00,0.00,0.00,8.00,84.99,808.00,808.00,0.00,1000.00,100.00
1357159528,70,vda,0.00,0.00,1.00,33.00,0.00,16.00,964.24,123.37,1326.59,564.00,1349.70,29.41,100.00
1357159534,76,vda,0.00,2.15,4.49,39.26,0.02,18.42,863.32,73.02,2394.23,449.04,2616.82,18.93,82.81
1357159535,77,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159536,78,vda,0.00,0.00,2.00,5.00,0.01,2.08,610.29,3.48,120.00,0.00,168.00,34.29,24.00
1357159537,79,vda,0.00,0.00,0.00,11.00,0.00,5.23,973.82,2.11,432.00,0.00,432.00,17.45,19.20
1357159538,80,vda,0.00,5.00,0.00,3.00,0.00,0.03,21.33,0.18,60.00,0.00,60.00,60.00,18.00
1357159539,81,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159540,82,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159541,83,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159542,84,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159543,85,vda,0.00,1.00,0.00,2.00,0.00,0.01,12.00,0.11,54.00,0.00,54.00,54.00,10.80
1357159544,86,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159545,87,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357159546,88,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
