timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1357426001,1,vda,0.00,0.00,16.00,0.00,0.89,0.00,114.00,0.19,15.88,15.88,0.00,7.50,12.00
1357426002,2,vda,0.00,0.00,41.00,0.00,0.32,0.00,15.80,0.05,1.12,1.12,0.00,1.12,4.60
1357426003,3,vda,0.00,92.00,0.00,4.00,0.00,0.37,190.00,0.12,31.00,0.00,31.00,31.00,12.40
1357426004,4,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426005,5,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426006,6,vda,0.00,0.00,435.00,0.00,13.11,0.00,61.70,3.92,9.00,9.00,0.00,1.73,75.20
1357426007,7,vda,0.00,0.00,30.00,0.00,2.90,0.00,198.13,0.18,6.33,6.33,0.00,4.67,14.00
1357426008,8,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426009,9,vda,0.00,8.00,0.00,3.00,0.00,0.04,26.67,0.11,35.33,0.00,35.33,35.33,10.60
1357426010,10,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426011,11,vda,0.00,0.00,55.00,0.00,2.87,0.00,106.91,0.12,2.16,2.16,0.00,2.15,11.80
1357426012,12,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426013,13,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426014,14,vda,0.00,6.00,0.00,3.00,0.00,0.03,21.33,0.10,32.67,0.00,32.67,32.67,9.80
1357426015,15,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426016,16,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426017,17,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426018,18,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426019,19,vda,0.00,1.00,0.00,3.00,0.00,0.01,8.00,0.10,34.33,0.00,34.33,34.33,10.30
1357426020,20,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426021,21,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426022,22,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426023,23,vda,0.00,62.00,0.00,36.00,0.00,0.38,21.78,0.04,0.97,0.00,0.97,0.03,0.10
1357426024,24,vda,0.00,1.00,0.00,3.00,0.00,0.01,8.00,0.43,142.33,0.00,142.33,142.33,42.70
1357426025,25,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426026,26,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426027,27,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426028,28,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426029,29,vda,0.00,1.00,0.00,3.00,0.00,0.01,8.00,0.10,33.67,0.00,33.67,33.67,10.10
1357426030,30,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426031,31,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426032,32,vda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357426033,33,vda,0.00,0.00,3.00,2.00,0.01,0.14,64.00,0.02,3.20,0.00,8.00,1.60,0.80
1357426034,34,vda,0.00,5.00,0.00,4.00,0.00,0.03,16.00,0.14,34.75,0.00,34.75,34.75,13.90
