CPU: Intel Sandy Bridge microarchitecture, speed 2294.79 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
1040893  1040893       18.3751  18.3751    (no location information)   no-vmlinux               /no-vmlinux
472322   1513215        8.3380  26.7131    jemalloc.c:1321             redis-server             je_malloc_usable_size
348201   1861416        6.1469  32.8600    networking.c:170            redis-server             _addReplyObjectToList
343143   2204559        6.0576  38.9176    (no location information)   libc-2.16.so             __memcpy_ssse3_back
331182   2535741        5.8464  44.7640    (no location information)   libc-2.16.so             __memmove_ssse3_back
226851   2762592        4.0046  48.7686    jemalloc.c:830              redis-server             je_malloc
205024   2967616        3.6193  52.3880    networking.c:268            redis-server             addReply
202962   3170578        3.5829  55.9709    zmalloc.c:121               redis-server             zmalloc
182983   3353561        3.2302  59.2011    jemalloc.c:1225             redis-server             je_free
179915   3533476        3.1761  62.3772    zmalloc.c:198               redis-server             zfree
150843   3684319        2.6629  65.0401    sds.c:182                   redis-server             sdscatlen
143651   3827970        2.5359  67.5760    object.c:35                 redis-server             createObject
139028   3966998        2.4543  70.0303    dict.c:117                  redis-server             dictGenHashFunction
117488   4084486        2.0740  72.1043    (no location information)   [vdso] (tgid:927 range:0x7fff821ff000-0x7fff821fffff) [vdso] (tgid:927 range:0x7fff821ff000-0x7fff821fffff)
112986   4197472        1.9946  74.0989    networking.c:1260           redis-server             checkClientOutputBufferLimits
102858   4300330        1.8158  75.9147    dict.c:481                  redis-server             dictFind
88420    4388750        1.5609  77.4756    networking.c:153            redis-server             _addReplyToBuffer
87639    4476389        1.5471  79.0227    (no location information)   libc-2.16.so             __strcasecmp_l_avx
70372    4546761        1.2423  80.2650    networking.c:842            redis-server             processMultibulkBuffer
69617    4616378        1.2290  81.4939    networking.c:1341           redis-server             asyncCloseClientOnOutputBufferLimitReached
64095    4680473        1.1315  82.6254    networking.c:135            redis-server             dupLastObjectIfNeeded
61096    4741569        1.0785  83.7039    networking.c:122            redis-server             prepareClientToWrite
43602    4785171        0.7697  84.4737    t_list.c:515                redis-server             lrangeCommand
43117    4828288        0.7612  85.2348    redis.c:1487                redis-server             call
41955    4870243        0.7406  85.9755    sds.c:39                    redis-server             sdsnewlen
37955    4908198        0.6700  86.6455    redis.c:384                 redis-server             dictSdsKeyCompare
37918    4946116        0.6694  87.3149    util.c:251                  redis-server             string2ll
34842    4980958        0.6151  87.9299    networking.c:417            redis-server             addReplyLongLongWithPrefix
34762    5015720        0.6137  88.5436    networking.c:456            redis-server             addReplyBulkLen
34334    5050054        0.6061  89.1497    object.c:218                redis-server             decrRefCount
33903    5083957        0.5985  89.7482    (no location information)   libc-2.16.so             __strchr_sse42
33282    5117239        0.5875  90.3357    redis.c:1554                redis-server             processCommand
30905    5148144        0.5456  90.8813    networking.c:475            redis-server             addReplyBulk
28193    5176337        0.4977  91.3790    (no location information)   libc-2.16.so             __memcmp_sse4_1
25198    5201535        0.4448  91.8238    sds.h:54                    redis-server             sdsMakeRoomFor
20790    5222325        0.3670  92.1908    networking.c:40             redis-server             zmalloc_size_sds
19843    5242168        0.3503  92.5411    dict.c:339                  redis-server             dictAddRaw
18709    5260877        0.3303  92.8714    arena.c:1701                redis-server             arena_dalloc_bin_locked
17916    5278793        0.3163  93.1877    dict.c:153                  redis-server             dictGenCaseHashFunction
17252    5296045        0.3046  93.4922    sds.c:274                   redis-server             sdsrange
17019    5313064        0.3004  93.7927    redis.c:337                 redis-server             ustime
16064    5329128        0.2836  94.0763    networking.c:575            redis-server             freeClientArgv
15696    5344824        0.2771  94.3533    arena.c:1342                redis-server             arena_tcache_fill_small
13681    5358505        0.2415  94.5948    util.c:225                  redis-server             ll2string
10327    5368832        0.1823  94.7772    arena.c:862                 redis-server             arena_purge
10306    5379138        0.1819  94.9591    db.c:465                    redis-server             getExpire
10152    5389290        0.1792  95.1383    object.c:47                 redis-server             createStringObject
9094     5398384        0.1605  95.2988    networking.c:974            redis-server             processInputBuffer
8869     5407253        0.1566  95.4554    db.c:42                     redis-server             lookupKey
8615     5415868        0.1521  95.6075    arena.c:1977                redis-server             arena_ralloc
