timestamp,offset,pct_user,pct_nice,pct_system,pct_iowait,pct_steal,pct_idle
1356527136,1,6.75,0.00,2.86,18.70,0.00,71.69
1356527137,2,0.25,0.00,0.51,0.76,0.00,98.48
1356527138,3,0.00,0.00,0.50,0.00,0.00,99.50
1356527139,4,0.00,0.00,0.50,2.51,0.00,96.98
1356527140,5,0.00,0.00,0.75,3.25,0.00,96.00
1356527141,6,0.25,0.00,0.50,0.00,0.00,99.25
1356527142,7,0.00,0.00,0.50,0.00,0.00,99.50
1356527143,8,0.00,0.00,0.50,0.00,0.00,99.50
1356527144,9,0.00,0.00,0.25,0.00,0.00,99.75
1356527145,10,0.00,0.00,0.50,6.30,0.00,93.20
1356527146,11,0.25,0.00,0.25,0.00,0.00,99.50
1356527147,12,0.00,0.00,0.25,0.00,0.00,99.75
1356527148,13,0.25,0.00,0.50,0.00,0.00,99.25
1356527149,14,0.00,0.00,0.50,0.00,0.00,99.50
1356527150,15,0.00,0.00,0.25,3.54,0.00,96.21
1356527151,16,0.00,0.00,0.25,0.00,0.00,99.75
1356527152,17,1.25,0.00,45.00,3.50,0.00,50.25
1356527153,18,1.01,0.00,49.25,0.00,0.00,49.75
1356527154,19,1.25,0.00,48.87,0.00,0.00,49.87
1356527155,20,1.01,0.00,48.99,3.52,0.00,46.48
1356527156,21,1.00,0.00,49.37,0.00,0.00,49.62
1356527157,22,1.00,0.00,49.37,6.52,0.00,43.11
1356527158,23,1.01,0.00,49.25,5.78,0.00,43.97
1356527159,24,0.75,0.00,49.75,4.27,0.00,45.23
1356527160,25,1.25,0.00,49.12,0.00,0.00,49.62
1356527161,26,0.75,0.00,49.62,0.00,0.00,49.62
1356527162,27,1.26,0.00,48.99,0.00,0.00,49.75
1356527163,28,1.75,0.00,49.00,10.50,0.00,38.75
1356527164,29,1.26,0.00,49.25,5.78,0.00,43.72
1356527165,30,0.51,0.00,49.75,3.28,0.00,46.46
1356527166,31,1.26,0.00,48.99,1.51,0.00,48.24
1356527167,32,1.01,0.00,49.25,4.52,0.00,45.23
1356527168,33,1.00,0.00,49.12,2.01,0.00,47.87
1356527169,34,1.25,0.00,49.25,4.50,0.00,45.00
1356527170,35,0.76,0.00,49.62,2.52,0.00,47.10
1356527171,36,1.00,0.00,49.37,0.00,0.00,49.62
1356527172,37,1.00,0.00,49.62,0.00,0.00,49.37
1356527173,38,0.50,0.00,49.87,0.00,0.00,49.62
1356527174,39,1.01,0.00,49.25,5.03,0.00,44.72
1356527175,40,0.76,0.00,49.62,0.00,0.00,49.62
1356527176,41,1.25,0.00,49.00,0.25,0.00,49.50
1356527177,42,1.26,0.00,49.12,9.07,0.00,40.55
1356527178,43,1.25,0.00,49.25,5.00,0.00,44.50
1356527179,44,2.27,0.00,48.11,4.03,0.00,45.59
1356527180,45,6.27,0.00,44.11,0.00,0.00,49.62
1356527181,46,7.02,0.00,43.36,0.00,0.00,49.62
1356527182,47,4.51,0.00,45.86,0.00,0.00,49.62
1356527183,48,6.55,0.00,43.58,0.00,0.00,49.87
1356527184,49,15.62,0.00,33.75,4.53,0.00,46.10
1356527185,50,17.04,0.00,32.58,0.50,0.00,49.87
1356527186,51,17.63,0.00,31.99,0.00,0.00,50.38
1356527187,52,16.88,0.00,32.75,0.00,0.00,50.38
1356527188,53,16.25,0.00,33.00,0.00,0.00,50.75
1356527189,54,17.51,0.00,31.73,2.54,0.00,48.22
1356527190,55,18.14,0.00,30.73,0.50,0.00,50.63
1356527191,56,17.79,0.00,32.08,0.00,0.00,50.13
1356527192,57,18.23,0.00,30.89,0.00,0.00,50.89
1356527193,58,22.61,0.00,26.13,0.00,0.00,51.26
1356527194,59,20.91,0.00,27.96,0.76,0.00,50.38
1356527195,60,21.66,0.00,27.46,3.78,0.00,47.10
1356527196,61,21.21,0.00,27.02,0.00,0.00,51.77
