timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1357732271,1,sda,0.00,0.00,20.00,0.00,0.92,0.00,94.00,0.27,17.70,17.70,0.00,7.50,15.00
1357732272,2,sda,28.00,0.00,12.00,0.00,0.32,0.00,54.00,0.10,8.33,8.33,0.00,8.25,9.90
1357732273,3,sda,0.00,0.00,0.00,1.00,0.00,0.00,8.00,0.00,1.00,0.00,1.00,1.00,0.10
1357732274,4,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732275,5,sda,0.00,32.00,0.00,3.00,0.00,0.14,93.33,0.00,1.00,0.00,1.00,0.67,0.20
1357732276,6,sda,144.00,0.00,119.00,0.00,11.11,0.00,191.13,0.65,5.42,5.42,0.00,4.01,47.70
1357732277,7,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732278,8,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732279,9,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732280,10,sda,0.00,4.00,0.00,2.00,0.00,0.02,24.00,0.00,0.50,0.00,0.50,0.50,0.10
1357732281,11,sda,0.00,0.00,45.00,0.00,2.22,0.00,101.16,0.43,9.40,9.40,0.00,9.42,42.40
1357732282,12,sda,0.00,0.00,12.00,0.00,0.77,0.00,130.67,0.10,8.83,8.83,0.00,7.92,9.50
1357732283,13,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732284,14,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732285,15,sda,0.00,7.00,0.00,2.00,0.00,0.04,36.00,0.00,1.00,0.00,1.00,1.00,0.20
1357732286,16,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732287,17,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732288,18,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732289,19,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732290,20,sda,0.00,1.00,0.00,2.00,0.00,0.01,12.00,0.00,1.00,0.00,1.00,1.00,0.20
1357732291,21,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732292,22,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732293,23,sda,0.00,14.00,0.00,26.00,0.00,0.16,12.31,0.18,7.08,0.00,7.08,0.58,1.50
1357732294,24,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732295,25,sda,0.00,1.00,0.00,2.00,0.00,0.01,12.00,0.00,0.50,0.00,0.50,0.50,0.10
1357732296,26,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732297,27,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732298,28,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732299,29,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732300,30,sda,0.00,1.00,0.00,2.00,0.00,0.01,12.00,0.00,1.50,0.00,1.50,1.50,0.30
1357732301,31,sda,0.00,0.00,6.00,0.00,0.38,0.00,129.33,0.08,13.00,13.00,0.00,13.00,7.80
1357732302,32,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732303,33,sda,0.00,0.00,5.00,2.00,0.02,0.14,48.00,0.06,8.57,10.20,4.50,8.43,5.90
1357732304,34,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1357732305,35,sda,0.00,7.00,0.00,4.00,0.00,0.04,22.00,0.00,1.00,0.00,1.00,0.50,0.20
