timestamp,offset,pct_user,pct_nice,pct_system,pct_iowait,pct_steal,pct_idle
1356673809,1,0.25,0.00,0.75,4.49,0.00,94.51
1356673810,2,0.00,0.00,0.25,0.50,0.00,99.25
1356673811,3,0.00,0.00,0.25,0.00,0.00,99.75
1356673812,4,0.00,0.00,0.50,0.00,0.00,99.50
1356673813,5,0.00,0.00,0.25,0.00,0.00,99.75
1356673814,6,0.00,0.00,0.50,0.00,0.00,99.50
1356673815,7,0.00,0.00,0.25,0.00,0.00,99.75
1356673816,8,0.00,0.00,0.00,0.00,0.00,100.00
1356673817,9,0.00,0.00,0.50,0.00,0.00,99.50
1356673818,10,0.00,0.00,0.00,0.00,0.00,100.00
1356673819,11,0.00,0.00,0.50,0.00,0.00,99.50
1356673820,12,0.00,0.00,0.00,0.00,0.00,100.00
1356673821,13,0.00,0.00,0.25,0.00,0.00,99.75
1356673822,14,0.00,0.00,0.50,0.00,0.00,99.50
1356673823,15,0.00,0.00,0.25,0.00,0.00,99.75
1356673824,16,3.53,0.00,17.38,9.57,0.00,69.52
1356673825,17,5.88,0.00,42.71,0.00,0.00,51.41
1356673826,18,5.17,0.00,41.86,0.52,0.00,52.45
1356673827,19,6.11,0.00,43.00,0.00,0.00,50.89
1356673828,20,5.61,0.00,43.37,0.51,0.00,50.51
1356673829,21,6.43,0.00,41.65,0.26,0.00,51.67
1356673830,22,5.69,0.00,39.02,0.27,0.00,55.01
1356673831,23,6.97,0.00,38.87,0.27,0.00,53.89
1356673832,24,6.03,0.00,43.47,0.25,0.00,50.25
1356673833,25,5.71,0.00,42.34,0.00,0.00,51.95
1356673834,26,5.87,0.00,39.73,0.27,0.00,54.13
1356673835,27,17.29,0.00,28.99,0.00,0.00,53.72
1356673836,28,17.63,0.00,26.72,0.00,0.00,55.65
1356673837,29,10.73,0.00,27.97,0.00,0.00,61.30
1356673838,30,5.54,0.00,28.28,0.00,0.00,66.18
1356673839,31,6.09,0.00,27.83,0.00,0.00,66.09
1356673840,32,4.94,0.00,28.78,0.00,0.00,66.28
1356673841,33,5.59,0.00,27.94,0.00,0.00,66.47
1356673842,34,4.93,0.00,28.99,0.00,0.00,66.09
1356673843,35,5.51,0.00,27.83,0.00,0.00,66.67
1356673844,36,5.19,0.00,27.95,0.00,0.00,66.86
1356673845,37,6.05,0.00,27.09,0.00,0.00,66.86
1356673846,38,4.94,0.00,27.62,0.00,0.00,67.44
1356673847,39,4.39,0.00,28.07,0.00,0.00,67.54
1356673848,40,6.36,0.00,26.59,0.00,0.00,67.05
1356673849,41,6.36,0.00,26.88,0.00,0.00,66.76
1356673850,42,3.79,0.00,29.15,0.00,0.00,67.06
1356673851,43,6.90,0.00,26.44,0.00,0.00,66.67
1356673852,44,7.43,0.00,25.43,0.00,0.00,67.14
1356673853,45,4.62,0.00,27.75,0.00,0.00,67.63
1356673854,46,4.65,0.00,27.62,0.00,0.00,67.73
1356673855,47,5.22,0.00,26.96,0.00,0.00,67.83
1356673856,48,5.46,0.00,27.30,0.00,0.00,67.24
1356673857,49,4.61,0.00,27.67,0.00,0.00,67.72
1356673858,50,4.07,0.00,27.91,0.00,0.00,68.02
1356673859,51,3.50,0.00,28.28,0.00,0.00,68.22
1356673860,52,4.93,0.00,27.54,0.00,0.00,67.54
1356673861,53,4.07,0.00,28.20,0.00,0.00,67.73
1356673862,54,22.02,0.00,17.36,0.00,0.00,60.62
1356673863,55,13.78,0.00,25.77,0.51,0.00,59.95
1356673864,56,8.92,0.00,28.35,3.15,0.00,59.58
1356673865,57,10.71,0.00,10.20,9.95,0.00,69.13
1356673866,58,23.56,0.00,1.50,0.00,0.00,74.94
1356673867,59,12.37,0.00,13.38,0.00,0.00,74.24
1356673868,60,0.25,0.00,25.06,0.00,0.00,74.69
1356673869,61,1.01,0.00,24.69,0.00,0.00,74.31
1356673870,62,1.01,0.00,24.37,0.00,0.00,74.62
1356673871,63,0.50,0.00,24.94,0.00,0.00,74.56
1356673872,64,5.25,0.00,20.50,0.00,0.00,74.25
1356673873,65,20.35,0.00,4.77,0.00,0.00,74.87
1356673874,66,21.45,0.00,3.99,0.00,0.00,74.56
1356673875,67,22.56,0.00,3.26,5.01,0.00,69.17
1356673876,68,19.80,0.00,5.76,0.00,0.00,74.44
1356673877,69,15.00,0.00,1.25,9.00,0.00,74.75
1356673878,70,24.56,0.00,0.75,0.00,0.00,74.69
1356673879,71,24.31,0.00,0.75,0.00,0.00,74.94
1356673880,72,21.75,0.00,1.75,1.00,0.00,75.50
1356673881,73,0.00,0.00,0.25,0.00,0.00,99.75
1356673882,74,0.00,0.00,0.00,0.00,0.00,100.00
1356673883,75,0.00,0.00,0.00,0.00,0.00,100.00
1356673884,76,0.00,0.00,0.00,0.00,0.00,100.00
1356673885,77,0.00,0.00,0.00,0.00,0.00,100.00
1356673886,78,0.00,0.00,0.25,0.00,0.00,99.75
1356673887,79,0.00,0.00,0.00,0.00,0.00,100.00
1356673888,80,0.00,0.00,0.00,0.00,0.00,100.00
1356673889,81,0.00,0.00,0.00,0.00,0.00,100.00
1356673890,82,0.00,0.00,0.00,0.00,0.00,100.00
1356673891,83,0.00,0.00,0.00,0.00,0.00,100.00
1356673892,84,0.00,0.00,0.25,0.00,0.00,99.75
1356673893,85,0.00,0.00,0.00,0.00,0.00,100.00
1356673894,86,0.00,0.00,0.00,0.00,0.00,100.00
