timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1356594197,1,sda,0.00,0.00,257.00,0.00,8.77,0.00,69.88,0.27,1.05,1.05,0.00,0.69,17.80
1356594198,2,sda,0.00,2.00,38.00,10.00,0.22,0.05,11.50,0.00,0.06,0.08,0.00,0.06,0.30
1356594199,3,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594200,4,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594201,5,sda,0.00,13.00,0.00,2.00,0.00,0.06,60.00,0.00,0.50,0.00,0.50,0.50,0.10
1356594202,6,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594203,7,sda,0.00,0.00,0.00,2.00,0.00,0.01,8.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594204,8,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594205,9,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594206,10,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594207,11,sda,0.00,5.00,0.00,2.00,0.00,0.03,28.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594208,12,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594209,13,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594210,14,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594211,15,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594212,16,sda,0.00,2.00,7.00,2.00,0.41,0.02,96.89,0.01,1.33,1.71,0.00,1.22,1.10
1356594213,17,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594214,18,sda,0.00,14.00,8.00,11.00,0.03,2.29,249.68,0.02,1.11,0.25,1.73,0.68,1.30
1356594215,19,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594216,20,sda,0.00,15.00,0.00,13.00,0.00,3.61,569.23,0.02,1.62,0.00,1.62,0.46,0.60
1356594217,21,sda,0.00,9.00,0.00,13.00,0.00,3.54,556.92,0.03,2.46,0.00,2.46,0.38,0.50
1356594218,22,sda,0.00,10.00,0.00,8.00,0.00,2.79,714.00,0.02,2.25,0.00,2.25,0.38,0.30
1356594219,23,sda,0.00,8.00,0.00,7.00,0.00,2.24,656.00,0.01,1.43,0.00,1.43,0.43,0.30
1356594220,24,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594221,25,sda,0.00,6.00,0.00,4.00,0.00,0.82,422.00,0.00,0.25,0.00,0.25,0.25,0.10
1356594222,26,sda,0.00,8.00,0.00,10.00,0.00,1.50,308.00,0.01,1.30,0.00,1.30,0.50,0.50
1356594223,27,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594224,28,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594225,29,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594226,30,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594227,31,sda,0.00,2.00,0.00,3.00,0.00,0.02,13.33,0.00,0.33,0.00,0.33,0.33,0.10
1356594228,32,sda,0.00,0.00,0.00,2.00,0.00,0.14,140.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594229,33,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594230,34,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594231,35,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594232,36,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594233,37,sda,0.00,7.00,0.00,18.00,0.00,0.10,11.11,0.00,0.06,0.00,0.06,0.06,0.10
1356594234,38,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594235,39,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594236,40,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594237,41,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594238,42,sda,0.00,2.00,0.00,2.00,0.00,0.02,16.00,0.00,0.50,0.00,0.50,0.50,0.10
1356594239,43,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594240,44,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594241,45,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594242,46,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594243,47,sda,0.00,2.00,0.00,2.00,0.00,0.02,16.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594244,48,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594245,49,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594246,50,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594247,51,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594248,52,sda,0.00,6.00,0.00,6.00,0.00,1.99,680.00,0.01,0.83,0.00,0.83,0.33,0.20
1356594249,53,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594250,54,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594251,55,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594252,56,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594253,57,sda,0.00,4.00,0.00,2.00,0.00,0.02,24.00,0.00,0.50,0.00,0.50,0.50,0.10
1356594254,58,sda,0.00,18.00,0.00,20.00,0.00,6.50,665.60,0.08,4.10,0.00,4.10,0.40,0.80
1356594255,59,sda,0.00,32.00,0.00,31.00,0.00,13.89,917.68,0.14,4.55,0.00,4.55,0.39,1.20
1356594256,60,sda,0.00,33.00,6.00,32.00,0.38,14.64,809.68,0.15,3.97,0.33,4.66,0.37,1.40
1356594257,61,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594258,62,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594259,63,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594260,64,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594261,65,sda,0.00,7.00,0.00,3.00,0.00,0.04,26.67,0.00,0.00,0.00,0.00,0.00,0.00
1356594262,66,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356594263,67,sda,0.00,1.00,0.00,2.00,0.00,0.15,156.00,0.00,0.00,0.00,0.00,0.00,0.00
