timestamp,offset,pct_user,pct_nice,pct_system,pct_iowait,pct_steal,pct_idle
1357505824,1,0.00,0.00,1.01,3.02,0.00,95.98
1357505825,2,0.25,0.00,1.01,8.54,0.00,90.20
1357505826,3,0.00,0.00,1.26,0.00,0.00,98.74
1357505827,4,0.25,0.00,0.76,0.00,0.00,98.99
1357505828,5,0.00,0.00,1.26,2.26,0.00,96.48
1357505829,6,5.79,0.00,1.01,18.89,0.00,74.31
1357505830,7,0.25,0.00,1.25,20.05,0.00,78.45
1357505831,8,0.00,0.00,0.51,0.00,0.00,99.49
1357505832,9,0.00,0.00,1.26,0.00,0.00,98.74
1357505833,10,0.25,0.00,1.26,0.00,0.00,98.49
1357505834,11,0.25,0.00,1.50,0.75,0.00,97.49
1357505835,12,5.78,0.00,15.08,11.81,0.00,67.34
1357505836,13,9.00,0.00,19.25,0.00,0.00,71.75
1357505837,14,9.52,0.00,19.30,0.00,0.00,71.18
1357505838,15,7.77,0.00,20.55,0.00,0.00,71.68
1357505839,16,9.98,0.00,20.45,0.00,0.00,69.58
1357505840,17,8.50,0.00,21.25,6.00,0.00,64.25
1357505841,18,9.73,0.00,19.20,0.00,0.00,71.07
1357505842,19,10.25,0.00,18.50,0.00,0.00,71.25
1357505843,20,11.78,0.00,13.78,0.00,0.00,74.44
1357505844,21,11.50,0.00,14.00,0.00,0.00,74.50
1357505845,22,11.47,0.00,14.21,6.23,0.00,68.08
1357505846,23,11.00,0.00,14.50,0.00,0.00,74.50
1357505847,24,12.28,0.00,13.03,0.00,0.00,74.69
1357505848,25,11.72,0.00,16.21,0.00,0.00,72.07
1357505849,26,10.72,0.00,17.46,0.00,0.00,71.82
1357505850,27,10.95,0.00,17.41,0.00,0.00,71.64
1357505851,28,12.00,0.00,16.00,0.00,0.00,72.00
1357505852,29,10.78,0.00,16.79,0.00,0.00,72.43
1357505853,30,12.06,0.00,15.33,0.00,0.00,72.61
1357505854,31,11.31,0.00,16.08,0.00,0.00,72.61
1357505855,32,11.44,0.00,15.42,5.22,0.00,67.91
1357505856,33,11.75,0.00,17.75,0.00,0.00,70.50
1357505857,34,12.22,0.00,17.46,0.00,0.00,70.32
1357505858,35,12.84,0.00,17.28,0.00,0.00,69.88
1357505859,36,12.22,0.00,16.46,0.00,0.00,71.32
1357505860,37,11.94,0.00,17.41,0.00,0.00,70.65
1357505861,38,11.66,0.00,17.37,0.00,0.00,70.97
1357505862,39,12.94,0.00,16.42,0.00,0.00,70.65
1357505863,40,13.45,0.00,17.85,0.00,0.00,68.70
1357505864,41,13.22,0.00,16.46,0.00,0.00,70.32
1357505865,42,11.78,0.00,16.54,0.00,0.00,71.68
1357505866,43,11.25,0.00,17.25,0.00,0.00,71.50
1357505867,44,11.34,0.00,16.62,0.00,0.00,72.04
1357505868,45,11.78,0.00,16.29,0.00,0.00,71.93
1357505869,46,11.06,0.00,16.83,0.00,0.00,72.11
1357505870,47,12.19,0.00,16.67,0.00,0.00,71.14
1357505871,48,12.06,0.00,16.58,0.00,0.00,71.36
1357505872,49,11.34,0.00,17.63,0.00,0.00,71.03
1357505873,50,9.27,0.00,19.05,0.00,0.00,71.68
1357505874,51,10.03,0.00,19.05,0.00,0.00,70.93
1357505875,52,9.00,0.00,19.50,0.00,0.00,71.50
1357505876,53,9.30,0.00,18.09,0.75,0.00,71.86
1357505877,54,34.41,0.00,4.74,0.00,0.00,60.85
1357505878,55,39.20,0.00,2.76,0.00,0.00,58.04
1357505879,56,42.00,0.00,3.50,0.00,0.00,54.50
1357505880,57,32.91,0.00,2.76,3.02,0.00,61.31
1357505881,58,26.18,0.00,3.24,3.24,0.00,67.33
1357505882,59,23.43,0.00,3.02,0.00,0.00,73.55
1357505883,60,23.31,0.00,3.26,0.00,0.00,73.43
1357505884,61,22.67,0.00,3.53,0.00,0.00,73.80
1357505885,62,25.25,0.00,2.25,1.25,0.00,71.25
1357505886,63,24.62,0.00,2.76,4.52,0.00,68.09
1357505887,64,26.00,0.00,3.50,0.00,0.00,70.50
1357505888,65,24.56,0.00,2.26,0.00,0.00,73.18
1357505889,66,24.75,0.00,2.25,0.00,0.00,73.00
1357505890,67,22.81,0.00,3.76,0.00,0.00,73.43
1357505891,68,24.56,0.00,2.26,6.02,0.00,67.17
1357505892,69,23.81,0.00,3.76,0.00,0.00,72.43
1357505893,70,24.81,0.00,1.50,0.00,0.00,73.68
1357505894,71,25.50,0.00,3.75,0.00,0.00,70.75
1357505895,72,24.44,0.00,2.24,0.00,0.00,73.32
1357505896,73,25.76,0.00,2.78,5.30,0.00,66.16
1357505897,74,26.18,0.00,2.49,0.00,0.00,71.32
1357505898,75,21.30,0.00,6.52,0.00,0.00,72.18
1357505899,76,17.34,0.00,10.05,0.00,0.00,72.61
1357505900,77,17.84,0.00,9.80,0.00,0.00,72.36
1357505901,78,17.96,0.00,9.48,5.74,0.00,66.83
1357505902,79,18.09,0.00,9.05,0.00,0.00,72.86
1357505903,80,17.96,0.00,9.98,0.00,0.00,72.07
