timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1356733070,1,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733071,2,sda,0.00,0.00,0.00,1.98,0.00,0.01,8.00,0.02,11.00,0.00,11.00,5.50,1.09
1356733072,3,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733073,4,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733074,5,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733075,6,sda,0.00,25.00,0.00,4.00,0.00,0.11,58.00,0.20,49.25,0.00,49.25,44.00,17.60
1356733076,7,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733077,8,sda,0.00,3.00,0.00,20.00,0.00,0.11,11.20,0.28,14.15,0.00,14.15,0.80,1.60
1356733078,9,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733079,10,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733080,11,sda,0.00,4.00,0.00,4.00,0.00,0.03,16.00,0.28,71.00,0.00,71.00,65.75,26.30
1356733081,12,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733082,13,sda,0.00,0.00,0.00,1.98,0.00,0.02,20.00,0.02,11.00,0.00,11.00,5.50,1.09
1356733083,14,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733084,15,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.90
1356733085,16,sda,0.00,4.00,10.00,4.00,0.33,0.03,53.14,0.74,54.00,53.60,55.00,23.29,32.60
1356733086,17,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356733087,18,sda,0.00,11.00,0.00,6.00,0.00,0.08,26.67,0.29,48.83,0.00,48.83,46.83,28.10
1356733088,19,sda,0.00,4.95,0.00,25.74,0.00,2.71,215.69,0.98,38.23,0.00,38.23,13.35,34.36
1356733089,20,sda,0.00,5.00,0.00,20.00,0.00,2.09,214.40,1.11,55.40,0.00,55.40,13.95,27.90
1356733090,21,sda,0.00,5.00,0.00,19.00,0.00,2.11,227.37,0.60,31.84,0.00,31.84,19.95,37.90
1356733091,22,sda,0.00,5.00,0.00,33.00,0.00,3.79,235.15,1.25,37.88,0.00,37.88,12.15,40.10
1356733092,23,sda,0.00,4.00,0.00,25.00,0.00,2.89,236.80,0.73,29.36,0.00,29.36,10.72,26.80
1356733093,24,sda,0.00,4.95,0.00,13.86,0.00,1.61,238.29,0.68,47.14,0.00,47.14,6.00,8.32
