timestamp,offset,device,rrqm_s,wrqm_s,r_s,w_s,rmb_s,wmb_s,avgrq_sz,avgqu_sz,await,r_await,w_await,svctm,pct_util
1356701565,1,sda,28.00,0.00,20.00,0.00,1.02,0.00,104.80,0.42,23.40,23.40,0.00,9.55,19.10
1356701566,2,sda,28.00,0.00,12.00,0.00,0.32,0.00,54.00,0.18,15.08,15.08,0.00,12.67,15.20
1356701567,3,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701568,4,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701569,5,sda,0.00,12.00,0.00,2.00,0.00,0.05,56.00,0.01,6.00,0.00,6.00,6.00,1.20
1356701570,6,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701571,7,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701572,8,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701573,9,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701574,10,sda,0.00,2.00,0.00,2.00,0.00,0.02,16.00,0.01,4.50,0.00,4.50,4.50,0.90
1356701575,11,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701576,12,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701577,13,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701578,14,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356701579,15,sda,0.00,5.00,0.00,13.00,0.00,0.07,11.08,0.21,16.31,0.00,16.31,3.77,4.90
1356701580,16,sda,229.00,0.00,162.00,0.00,12.57,0.00,158.96,1.45,8.71,8.71,0.00,4.34,70.30
1356701581,17,sda,0.00,0.00,20.00,0.00,0.94,0.00,96.40,0.22,12.85,12.85,0.00,8.25,16.50
1356701582,18,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
